company,title,name,position,industry,usage,paid_status,source,date,total,ease,feature,support,value,recommend,comments,pros,cons,overall,recommendations to other buyers
ticketsource,Helpful staff. Easy to navigate the site.,Peter R.,Writer / Director,,Used the software for: Less than 6 months,NO,Source: Capterra,2-Nov-17,5,5,5,5,5,10,,"Pros: I could do almost anything I wanted. Reports were easy to generate. It was extremely easy to make alterations to people's bookings, or recover customer details. I needed one phone call at the start just to sort a couple of minor things, then it was really easy!","Cons: I had no real issues. From initial set up, I was not sure how the ticket booking fee would work, but one phone call sorted it out.",,
ticketsource,Fabulous.Made it so easy for me to sell tickets and promote my show.,Verified Reviewer,Writer / Director,,Source: Capterra,NO,Source: Capterra,3-May-18,5,5,5,5,5,10,,"Pros: Easy to set up in the first instance, very easy to operate both from a customers point of view and from an administrative point of view. Easily amendable and controllable for an admin, if changes needed to be made and on top of that, paid out extremely quickly.","Cons: Nothing, it worked perfectly for me. I found it perfect for what I needed - I really do not have any cons for this product,",,
ticketsource,Established Amateur Dramtic Company adopt online booking,Nick C.,Publicity Officer,,,NO,Source: Capterra,7-Oct-14,5,5,5,5,5,10,Comments: We decided to offer online booking to our audience members and found TicketSource by looking at the online service provision offered by other local amateur dramatic groups.,,,,
ticketsource,Overall ticket source did exactly what I required and I'm very happy.,Darren P.,DJ,,,NO,Source: Capterra,1-Jan-16,5,4,5,5,5,10,"Comments: I did a bit of searching on the internet before eventually going with ticket source. You only know at the end of the process whether it was a good decision or not, and I can say now that I'm at the end, it was a good decision. I'm a fairly competent user of IT software and found my way around everything ok. I've marked it down to a very good 4 stars on 'ease of use' as I feel that it probably could be just a little bit more user friendly to people who aren't IT literate. The FAQ section is also very useful. I would recommend this to others and will also be using it again in the future.",,,,
ticketsource,Great Resource for a Charity,Rosie S.,Chairman,,,NO,Source: Capterra,8-Oct-14,4,4,5,5,5,10,"Comments: Really useful resource for selling tickets to all manor of events (å£ and free events). Easy to use, lots of flexibility: can set up offer codes and discounts, brand your page, summary reports etc. All the usual options for tickets, self print, post etc. inclusion of bar codes/QR codes and readers gives security as well.",,,,
ticketsource,Downsview Players,Michele C.,,,,NO,Source: Capterra,11-Jan-17,4,4,4,4,5,10,"Comments: Would have liked to have been involved in the chip an pin trial but never got a reply from you?We are looking to use card machines and your trial would have let us trial if it would suit out group. Your programme is very easy to use. We don't have a huge audience but they are starting to use ticket source via our web site. The tickets people can have sent to them look very professional and those who used it were impressed. Being able to print ticket or have on phone has worked well with our audience and is used more at pantomtime time.",,,,
ticketsource,Nailsea Community Christmas Fair skate rink tickets,Carol D.,,,,NO,Source: Capterra,12-Jan-17,5,4,4,5,5,10,"Comments: Some people thought we were wrong to sell our tickets online - it was the best decision, relatively straightforward but from the organisers point of view, easy and less time consuming.We had a few issues setting out the different times and numbers - for example the penguins for little people and the disabled chairs - and have learned a lot for this year.Yes, we will use them again - we now know where to get support and help.The tickets looked lovely - we got them sponsored which helped towards the cost...2016 learning groove, 2017 learned!Thank you TicketSource.",,,,
ticketsource,Chichester Cathedral,Kay M.,,,,NO,Source: Capterra,12-Jan-17,4,4,5,5,5,10,"Comments: Following the closure of our in-house box office, we needed to find a reputable ticket agent that could offer a cost-effective ticketing solution and whose software was continually updated in line with developing technologies.Ticketsource provides all this.The website and back office is very easy to navigate. Purchasing and selling tickets is a quick and painless process, and the software design very user-friendly.The software provides real time reporting and the provision to sell tickets in-house when required.The customer support is outstanding. Issues are resolved immediately and instruction when given is systematic, clear and precise.I would recommend Ticketsource to any event organiser.",,,,
ticketsource,Overall Very Good,Mark H.,,,,NO,Source: Capterra,12-Jan-17,4,3,4,5,5,10,"Comments: The website is easy to use and offers a comprehensive range of features. Some of our customers struggle to buy tickets when accessing the website from certain devices, though. It would be really helpful in it could be possible for customers to buy tickets from mobile devices as well as desk tops. It would also be helpful if we could arrange refunds when necessary, rather than having to email for support.",,,,
ticketsource,Great Ticket Facility but...,Rob M.,Chairman,,,NO,Source: Capterra,7-Oct-14,4,5,4,5,5,10,Comments: Overall I find Ticket Source excellent and find website integration very easy. An option or tick box of what events to be listed to the site would be an bonus as we like to great tickets for competition or complimentary tickets but if you create an event for free tickets they will automatically be listed on our website - I hope that makes sense.,,,,
